"age","sex","carb","fat","protein","sodium","energyintake"
0,"Female",221.147652444409,31.1378994241493,33.9281304283417,2196.0163025817,1300.54422630835
1,"Female",221.727774283296,31.2190183286876,34.0156631813079,2201.70951665817,1303.94491481661
2,"Female",222.874936507616,31.3797397229855,34.1888042498338,2212.97456166523,1310.67262053667
3,"Female",224.563453046761,31.6170804773856,34.4437737275387,2229.57301512647,1320.58263139367
4,"Female",226.755962780122,31.9266876930505,34.7750707122951,2251.1578794534,1333.46432320712
5,"Female",229.404765144518,32.3029781480848,35.1756665762327,2277.28573441186,1349.04853021577
6,"Female",232.453495436973,32.739313520237,35.6372475025981,2307.43196515831,1367.01679344042
7,"Female",235.839057943433,33.2282031220092,36.1504945326194,2341.0083122696,1387.01203800229
8,"Female",239.493724532201,33.7615248729286,36.7053878629394,2377.38189732958,1408.65017343692
9,"Female",243.347301436493,34.3307548020489,37.2915214333308,2415.89483763433,1431.53208469773
10,"Female",247.329267765682,34.927195527467,37.8984139657807,2455.88357736185,1455.25548667305
11,"Female",251.370795585328,35.5421948611375,38.5158035228075,2496.69712716326,1479.42615018278
12,"Female",255.406572577014,36.1673468595242,39.1339142548957,2537.71351305736,1503.66806906336
13,"Female",259.376363399296,36.7946691746033,39.7436861687211,2578.35387927533,1527.6322208435
14,"Female",263.22626375019,37.4167523243791,40.3369612999881,2618.09385670889,1551.00367112012
15,"Female",266.909620464405,38.0268783558936,40.9066224276817,2656.47198610917,1573.50687677139
16,"Female",270.387610408079,38.6191081769579,41.4466832257302,2693.09516030247,1594.90914812786
17,"Female",273.629489165907,39.1883384591273,41.9523313288389,2727.64121047829,1615.02232811113
18,"Female",276.612536414755,39.7303303608907,42.4199280307611,2759.85889792374,1633.70283103008
19,"Female",279.321737548112,40.2417133148437,42.8469701099634,2789.56567683111,1650.85025046589
20,"Female",281.749249959003,40.7199677296706,43.2320205074175,2816.64366141391,1666.40479143272
21,"Female",283.89370713719,41.1633906777532,43.5746152297854,2841.03426018866,1680.34380556768
22,"Female",285.759414454674,41.5710485073389,43.875153932034,2862.7319337182,1692.67771011288
23,"Female",287.355487575237,41.942719898652,44.134781203884,2881.77749397411,1703.44555420435
24,"Female",288.694978460538,42.2788322613956,44.3552647380709,2898.25130059149,1712.710463147
25,"Female",289.794025777284,42.5803936435192,44.5388754146615,2912.26662996948,1720.55514755946
26,"Female",290.671057062938,42.8489215858472,44.6882730278663,2923.96340637251,1727.07761463584
27,"Female",291.346060225896,43.0863697034615,44.8064000442414,2933.50239867149,1732.3871684117
28,"Female",291.839932719809,43.2950522747728,44.8963845372878,2941.05990991987,1736.60073950134
29,"Female",292.173908783654,43.4775668217623,44.9614523955193,2946.82292577883,1739.83954611255
30,"Female",292.369059030771,43.6367145917935,45.0048481226435,2950.9846460376,1742.2260599398
31,"Female",292.445852727873,43.7754189970436,45.0297630800718,2953.74030301437,1743.88123420517
32,"Female",292.423771420826,43.8966424012025,45.0392698699944,2955.28317111987,1744.9219467741
33,"Female",292.320963006266,44.0033021134217,45.0362616963893,2955.80069094534,1745.45861783141
34,"Female",292.153927594045,44.0981869915042,45.0233959195572,2955.47066488972,1745.59297697794
35,"Female",291.937230085824,44.1838765986112,45.0030415653817,2954.45752443413,1745.41597599232
36,"Female",291.68323874978,44.2626653302068,44.9772311804344,2952.90871600525,1745.00586769272
37,"Female",291.401893606299,44.3364942686281,44.9476180523039,2950.95129724916,1744.42649505206
38,"Female",291.100512582537,44.406893683354,44.9154403602853,2948.68887326946,1743.72585492147
39,"Female",290.783646642231,44.4749390449471,44.8814942158648,2946.1990287005,1742.93501483691
40,"Female",290.452997056739,44.5412231481532,44.8461177434001,2943.53142332936,1742.06746753394
41,"Female",290.107408393372,44.6058464520934,44.8091883075247,2940.70671467195,1741.11900487243
42,"Female",289.742949545254,44.668427067396,44.7701347053928,2937.71645019673,1740.06818060915
43,"Female",289.353092250436,44.7281309901367,44.7279656207954,2934.52403588114,1738.87741039616
44,"Female",288.928992225744,44.7837222496738,44.6813149150687,2931.06683880023,1737.49472881031
45,"Female",288.459872575963,44.8336316574336,44.6285034551533,2927.25942280199,1735.85618904137
46,"Female",287.933502934263,44.8760418746325,44.5676162138234,2922.99785207946,1733.88885346404
47,"Female",287.336761318228,44.9089856162531,44.4965923913804,2918.16493212719,1731.51428538471
48,"Female",286.656259456458,44.9304530300528,44.4133253762706,2912.63619585297,1728.65241660139
49,"Female",285.879006862266,44.9385036805583,44.3157685572425,2906.28638905458,1725.22563480306
50,"Female",284.993084674932,44.9313781682244,44.2020423886443,2898.99616818057,1721.16291176832
51,"Female",283.98829765315,44.9076042525238,44.0705377489354,2890.65869767534,1716.40377988106
52,"Female",282.856771980785,44.8660924423769,43.9200105604338,2881.18582669011,1710.90196214627
53,"Female",281.593467889181,44.8062163726597,43.7496628763496,2870.51353677179,1704.62847041606
54,"Female",280.196579517502,44.7278738921055,43.559206187908,2858.606383238,1697.57400785059
55,"Female",278.66779976682,44.6315256216203,43.3489035353989,2845.46070183597,1689.75054380346
56,"Female",277.012434843046,44.5182087643387,43.1195880754632,2831.10641614357,1681.19197055308
57,"Female",275.239361279493,44.3895251079413,42.8726569961778,2815.60735598316,1671.95379907415
58,"Female",273.360826928036,44.2476033934154,42.6100409996071,2799.06007793992,1662.11190225131
59,"Female",271.392106093104,44.09503746307,42.3341508973924,2781.5912604026,1651.76036512961
60,"Female",269.351027029334,43.9348027723602,42.0478040959186,2763.35382175512,1641.00854945225
61,"Female",267.257396850109,43.7701548860986,41.7541347970492,2744.52197617942,1629.97752056352
62,"Female",265.132354014754,43.6045144196993,41.4564925356295,2725.28549253353,1618.79601597883
63,"Female",262.997681631891,43.4413434836034,41.1583341635657,2705.84345470808,1607.59615453426
64,"Female",260.875115661677,43.2840190150301,40.8631145450106,2686.39783499798,1596.50909196202
65,"Female",258.785680733127,43.1357084266769,40.5741810481332,2667.14718525396,1585.66082296513
66,"Female",256.74908290971,42.9992527782318,40.2946764331979,2648.28072541812,1575.16831237572
67,"Female",254.783183693023,42.8770622132973,40.0274539952281,2629.97306845562,1565.13611067268
68,"Female",252.903573329659,42.7710277460647,39.7750078918687,2612.37976874143,1555.65357460069
69,"Female",251.123254633489,42.6824526828587,39.5394205540401,2595.63382240311,1546.79277489584
70,"Female",249.452441626055,42.6120060811153,39.3223280227768,2579.84318791759,1538.60713332536
71,"Female",247.898470866561,42.5596997375972,39.1249030597381,2565.08933808546,1531.13079334357
72,"Female",246.465817838586,42.5248893060985,38.9478550088513,2551.42680431574,1524.37869514463
73,"Female",245.156206507586,42.5062993083809,38.7914446925847,2538.88363384524,1518.34729857611
74,"Female",243.968797337472,42.5020710428921,38.6555121377858,2527.46265172286,1513.01587728706
75,"Female",242.900437677355,42.5098317227724,38.539514650352,2517.14340241885,1508.34829481578
76,"Female",241.94595837718,42.5267825851509,38.442572682197,2507.88463984028,1504.29516750386
77,"Female",241.098501519313,42.5498031973552,38.363521027843,2499.62723739566,1500.79631896482
78,"Female",240.349865934742,42.5755687287443,38.3009631091269,2492.29739889655,1497.78343473418
79,"Female",239.690859339981,42.6006765474224,38.2533264062085,2485.81006353523,1495.18283191156
80,"Female",239.111648123373,42.6217781331422,38.2189174222998,2480.0724110349,1492.91826538097
81,"Female",238.602097716271,42.6357119747274,38.19597488468,2474.98738388181,1490.91369817635
82,"Female",238.152097880436,42.6396328569585,38.1827201520244,2470.45715062472,1489.09596784247
83,"Female",237.751868013104,42.6311327637333,38.1774039974517,2466.38643683249,1487.39728291582
84,"Female",237.392237721198,42.6083485660615,38.1783490622314,2462.68564874249,1485.75748422827
85,"Female",237.064897567931,42.5700517648433,38.1839873352393,2459.27371020426,1484.12600549627
86,"Female",236.762614266221,42.5157158590439,38.1928920285697,2456.08052831436,1482.46346791056
87,"Female",236.479403965994,42.4455574432605,38.2038032192097,2453.04899973921,1480.74284573016
88,"Female",236.210656960888,42.3605479257451,38.2156466431871,2450.13647084182,1478.95014574801
89,"Female",235.953207405708,42.262393801541,38.2275450935445,2447.31557277429,1477.08455421088
90,"Female",235.705342703644,42.1534846958048,38.2388220118931,2444.57436937912,1475.15802112439
91,"Female",235.466749202073,42.0368098650358,38.2489970894167,2441.91578173032,1473.19427395128
92,"Female",235.238393709217,41.9158454394076,38.2577740075563,2439.35628785617,1471.22727982176
93,"Female",235.022343955127,41.7944163164336,38.265020836766,2436.92393771542,1469.29920601547
94,"Female",234.821535185887,41.6765381673614,38.2707440450757,2434.6557687348,1467.4579604301
95,"Female",234.639494216084,41.5662463776416,38.2750575067239,2432.59475211654,1465.75442429001
96,"Female",234.480036030777,41.4674197983356,38.2781482980476,2430.78644014958,1464.23951550032
97,"Female",234.346950980022,41.3836078363279,38.2802413752767,2429.27551539861,1462.96123994815
98,"Female",234.243702354565,41.3178695813692,38.2815654043048,2428.10245998103,1461.9618972678
99,"Female",234.173154384709,41.2726333139926,38.2823220244659,2427.30056437182,1461.27560546263
100,"Female",234.13734932684,41.2495838563378,38.2826606613824,2426.8934790217,1460.92629465993
